Name,Beta,Jensen Alpha,Sharpe Ratio,Treynor Ratio,Tracking Error,AUM
Bahana Kas Syariah Fund,0.000000,0.000000,0.850123,0.000000,0.290092,10260494827.049999
Pacific Saham Syariah III,0.020395,-0.031429,-0.150073,-1.544830,-0.027674,37072894355.010002
MNC Dana XVII,0.000000,0.000000,-2.627415,0.000000,-0.013209,151125415206.440002
MAJORIS SAHAM ALOKASI DINAMIK INDONESIA,1.121327,-0.187382,-0.125166,-0.015723,-0.169015,34632877020.430000
NET Dana Proteksi VIII,0.000000,0.000000,0.284328,0.000000,0.076359,216895845777.489990
UOBAM Terproteksi 001,0.000000,0.000000,-2.356949,0.000000,0.000998,68606452425.940002
Bahana Progressive Protected Fund 200,0.000000,0.000000,-2.317024,0.000000,-0.031604,54581333185.910004
KRESNA FLEXIMA,0.727891,-0.105132,0.042648,0.006951,-0.146326,13679164813.760000
SYAILENDRA DANA EKUITAS DINAMIS,1.138022,-0.084458,0.406794,0.054547,-0.066686,222919693157.970001
MEGA ASSET MAXIMA,0.751896,0.013518,0.821247,0.169364,-0.024041,169212435806.170013
Cipta Obligasi Prima,0.473695,-0.096855,-2.523623,-0.232385,-0.082161,105255739473.639999
Bahana Akselerasi Multi Flexi Saham,1.147581,-0.015369,1.053800,0.137992,0.006972,289214085857.849976
Star Balanced II,0.141102,0.079683,0.791768,0.716106,-0.050341,96267993953.039993
SYAILENDRA DANA EKUITAS PLUS,1.005750,-0.027136,0.912763,0.124403,-0.026266,243501287839.769989
Batavia Saham Cemerlang,1.184458,-0.016192,1.057065,0.137714,0.011732,2318528060027.180176
Batavia Proteksi Maxima 9,0.000000,0.000000,-2.399383,0.000000,-0.024747,182828588253.500000
Manulife Dana Kas Utama II,0.000000,0.000000,-3.763597,0.000000,0.004437,1011483822859.270020
BNI-AM Proteksi Jasmine,0.000000,0.000000,-2.304413,0.000000,0.004986,205218115605.239990
TRIM Kapital,0.966040,0.075012,1.572622,0.229034,0.069871,156574228861.869995
Syailendra Providentia Fixed Income Fund,0.092020,0.024095,0.793238,0.233924,0.049445,38156907839.389999
SEMESTA DANA MAXIMA,0.893773,0.029349,0.988314,0.184222,0.013268,10519494168.459999
Sucorinvest Stable Fund,0.006477,0.011097,4.284020,1.685509,0.038836,11005383923027.000000
Aurora Dana Ekuitas,0.138003,-0.163818,-2.416312,-1.035672,-0.294311,5581699049.350000
SYAILENDRA EQUITY PLATINUM FUND,1.022576,0.023082,1.309099,0.173957,0.026500,140300128221.589996
PREMIER PASAR UANG II,0.000000,0.000000,-20.256172,0.000000,0.039760,192002323823.380005
BNP PARIBAS MAXI SAHAM,1.067262,-0.096248,0.481802,0.061203,-0.086065,1315365710327.250000
DANA EKUITAS PRIMA,1.172932,-0.116414,0.407574,0.052134,-0.090235,224706438754.489990
Trimegah Terproteksi 12,0.000000,0.000000,-0.218118,0.000000,0.054806,107030421618.259995
Bahana Progressive Protected Fund 184,0.000000,0.000000,-1.864697,0.000000,-0.001991,215547422650.700012
BNI-AM Proteksi Nusagriya,0.000000,0.000000,-2.406543,0.000000,-0.009139,87764752689.149994
